system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
GroundSim,repair,M1.2,,692.1800514840576,81.54389629477255,141,10,8.211933419393372,0.12334172473952622,141,10,0,,,,,,
GroundSim,repair,M2.1,,1399.2464862129732,148.5746932250147,64,10,8.949290616063353,0.10032458521922465,64,10,0,,,,,,
GroundSim,repair,M2.2,,1550.2906434074994,306.4881469527912,70,10,9.012652908338426,0.16345413067646908,70,10,0,,,,,,
GroundSim,repair,M3.1,,1035.0684166928656,101.72933236573593,139,10,8.526343283538852,0.12028328342551137,139,10,0,,,,,,
GroundSim,repair,M3.2,,1192.9849305791183,64.20774778201981,116,10,8.762250406658417,0.08005988964452047,116,10,0,,,,,,
GroundSim,repair,M4.1,,358.53419286084744,35.34025005884756,104,10,7.601745575763164,0.10855121952435354,104,10,0,,,,,,
GroundSim,repair,M4.2,,756.6795829194782,121.62828192928355,68,10,8.301983530940774,0.16255536362366477,68,10,0,,,,,,
GroundSim,repair,M5,,2366.0683453810466,565.5067826851352,56,10,9.503360395793495,0.2323942053924459,56,10,0,,,,,,
GroundSim,repair,POOLED,,1020.6860657548116,53.433483857886166,932,10,8.494919941107998,0.05593731455575676,932,10,0,,,,,,
DeepSim,processing,M1.1,,0.828723237755605,0.0017932137092080635,201008,10,1.7465637889733254,0.0018970432487786053,201008,10,0,0.0006512051546420427,6.044056977000175e-05,10.0,0.0008127694576749,7.298057538615505e-05,10.0
DeepSim,processing,M1.2,,1.2974527396913582,0.0019047566247052123,202296,10,2.164052124575995,0.0016685539807003327,202296,10,0,0.0007118150221995468,0.00011494159462887978,10.0,0.0008064289247139645,0.00010799184717233003,10.0
DeepSim,processing,M2.1,,0.8946782283537905,0.0015104711830692774,200996,10,1.8111558382027149,0.0013498893412465345,200996,10,0,0.000538243184028564,7.187728249559853e-05,10.0,0.0007058285770146888,7.612428863375061e-05,10.0
DeepSim,processing,M2.2,,1.1199022182799443,0.00344627725651431,202294,10,1.9996757800631095,0.0022588163899062304,202294,10,0,0.0008214907609820132,6.70295189533978e-05,10.0,0.0009192726641369386,8.623680368290184e-05,10.0
DeepSim,processing,M3.1,,1.3596013254656616,0.003524784400276445,232416,10,2.1707213039124653,0.0025142163887365014,232416,10,0,0.0009295737755494971,5.5537991600415745e-05,10.0,0.0007533671962498545,3.886520480953986e-05,10.0
DeepSim,processing,M3.2,,1.1806018812458545,0.002148095679605953,170867,10,2.0837097684098205,0.001698784871036864,170867,10,0,0.00099823985368932,0.0001402992120050581,10.0,0.0009043305577121075,0.00011024203876509039,10.0
DeepSim,processing,M4.1,,0.9491225737030817,0.0023647708828724336,232414,10,1.8218143868884282,0.002260243006810365,232414,10,0,0.0007330674571820351,7.555797991084506e-05,10.0,0.0007595624440569048,7.003847716233733e-05,10.0
DeepSim,processing,M4.2,,0.8474797263702293,0.0014552012663608647,170868,10,1.7579447567588584,0.0018514715395907071,170868,10,0,0.0009886800270291762,0.00012199642359476507,10.0,0.0012702786351941552,0.00012087980732445599,10.0
DeepSim,processing,M5,,14.401940593610316,0.033804723691040345,108425,10,4.472319766020783,0.0030138305320151727,108425,10,0,0.026579814401220325,0.003488136145453551,10.0,0.0018152639486748612,0.00013912244103215127,10.0
DeepSim,processing,POOLED,,1.905341296252006,0.004238823863920856,1721584,10,2.1065983353967646,0.0011362516283520078,1721584,10,0,0.0024164784841691268,0.00022247188644198624,10.0,0.0009144384805984896,3.2258213881184975e-05,10.0
DeepSim,survival,M1.1,,11484.66946775477,979.1743358837041,164,10,10.845657027033866,0.12827267043708415,174,10,10,1079.0752923282498,266.2194818458388,10.0,0.533547888776989,0.0725756068555978,10.0
DeepSim,survival,M1.2,,18399.760478573426,1652.7959408835723,131,10,11.318579120935805,0.19758623979204104,141,10,10,1938.8021186413694,282.9133938421657,10.0,0.8041032608380128,0.1650567407392787,10.0
DeepSim,survival,M2.1,,28433.04490555293,4021.94801492035,54,10,10.555178029793364,0.33248072290031544,64,10,10,5599.651902696122,2826.538299064733,10.0,0.5887209766962018,0.2633230037360545,10.0
DeepSim,survival,M2.2,,27891.66492994096,4811.621397105555,60,10,10.686749290717575,0.3712975904681951,70,10,10,2454.9124130588702,1003.9848068903508,10.0,0.5042699530108272,0.2852969511560946,10.0
DeepSim,survival,M3.1,,21279.657929506557,1800.3669396512641,129,10,11.171646586386114,0.14308310609647593,139,10,10,1994.7239785641887,862.7833832484197,10.0,0.40720049742390607,0.07746388567425833,10.0
DeepSim,survival,M3.2,,17629.289143097016,2906.2088774244844,106,10,11.070949165134833,0.3703357564256096,116,10,10,1146.3166584009698,523.0806529584574,10.0,0.571698546727994,0.3047237014415274,10.0
DeepSim,survival,M4.1,,20031.10145422113,1961.0405117820515,94,10,11.064563018834086,0.2827896234062492,104,10,10,2226.6158604542593,405.0281994743042,10.0,0.6763607705493546,0.2595804398835641,10.0
DeepSim,survival,M4.2,,29370.5940834212,6287.713011007519,58,10,10.949252011250653,0.5716501275425205,68,10,10,1865.6546223727805,801.7502459629548,10.0,0.9536428431660534,0.3953649734997764,10.0
DeepSim,survival,M5,,28768.414121692505,3903.8364988960684,46,10,10.222374886077166,0.30720288223239645,55,10,9,3664.4089360374373,2338.044478328345,10.0,0.23616197483490123,0.09786447216289755,10.0
DeepSim,survival,POOLED,,20938.209882675037,832.7278069141379,842,10,11.017590973050568,0.07439170144062937,931,10,89,2002.0330029848894,333.71182252561425,10.0,0.6231425973349728,0.07034436268629082,10.0
DeepSim,repair,M1.1,,945.955676561349,71.40451854458546,174,10,8.519119788514027,0.09888174405964972,174,10,0,25.400646647523548,9.486354574493696,10.0,0.032117435744508246,0.010449861833070253,10.0
DeepSim,repair,M1.2,,690.2775098418967,76.392601114118,141,10,8.202723343658537,0.10980346166867935,141,10,0,-1.9025416421609465,5.64381903057919,10.0,-0.009210075734833633,0.014092652896808007,10.0
DeepSim,repair,M2.1,,1428.2289540978793,161.27184819932407,64,10,8.98133177404526,0.11155906153524689,64,10,0,28.9824678849061,18.61247063442399,10.0,0.0320411579819071,0.019259074851903417,10.0
DeepSim,repair,M2.2,,1552.3960242606959,299.4184637797596,70,10,9.019452616640113,0.1601803369194604,70,10,0,2.1053808531964817,13.890061926862213,10.0,0.006799708301685037,0.013627933044630794,10.0
DeepSim,repair,M3.1,,1039.43426627402,105.70527669698616,139,10,8.5339055811993,0.1248204440029565,139,10,0,4.365849581154498,5.174443544819396,10.0,0.007562297660448891,0.005572420333660805,10.0
DeepSim,repair,M3.2,,1216.549630996974,87.29096897726372,116,10,8.779006842065595,0.09864659186298894,116,10,0,23.56470041785576,25.959647975764288,10.0,0.01675643540717644,0.0197904651144789,10.0
DeepSim,repair,M4.1,,378.44596876108244,28.54102468845098,104,10,7.640703320066625,0.09056277446692795,104,10,0,19.91177590023501,7.754947094136746,10.0,0.038957744303461085,0.01828992012631051,10.0
DeepSim,repair,M4.2,,764.3268405963819,129.91569482910026,68,10,8.304752122127278,0.1744290237896056,68,10,0,7.647257676903661,10.105614114005379,10.0,0.0027685911865026115,0.013794137473228236,10.0
DeepSim,repair,M5,,2475.856909122624,597.9223078296184,56,10,9.594253873735491,0.2596934680035931,56,10,0,109.78856374157726,51.15004804603705,10.0,0.09089347794199724,0.04486872016013728,10.0
DeepSim,repair,POOLED,,1040.735900157682,56.29590984196322,932,10,8.515815184942047,0.05585381341967099,932,10,0,20.049834402870317,4.106870267114168,10.0,0.020895243834049636,0.0035558832659532197,10.0
RefSim-M,processing,M1.1,,3.8974053745018096,0.005877245193652757,201008,10,3.350941176527647,0.0016183226856120827,201008,10,0,3.069333341900847,0.006231981643411009,10.0,1.605190157011996,0.002768283132322907,10.0
RefSim-M,processing,M1.2,,4.182743982436175,0.008533479323441924,202296,10,3.417913736975078,0.00212702242209728,202296,10,0,2.886003057767017,0.008839541907533537,10.0,1.2546680413237965,0.0031339112141056747,10.0
RefSim-M,processing,M2.1,,4.865855750412476,0.008388055684986203,200996,10,3.568244134387278,0.0018607315528478786,200996,10,0,3.9717157652427133,0.008329822545601807,10.0,1.757794124761578,0.002261880085179979,10.0
RefSim-M,processing,M2.2,,5.031486488019285,0.010342689409116089,202294,10,3.5936699054206813,0.0019263721683173145,202294,10,0,3.9124057605003224,0.010288156319366566,10.0,1.5949133980217092,0.002703853076022947,10.0
