system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
RefSim-W,survival,M5,,25349.686472100766,6027.307945528879,46,10,10.252708223259944,0.41686939142485807,55,10,9,245.68128644569552,1488.0382399392058,10.0,0.26649531201767757,0.20783619173733037,10.0
RefSim-W,survival,POOLED,,20253.178474284585,742.9343367806697,842,10,10.987816292434033,0.07536705388646288,931,10,89,1317.0015945944392,149.07383536953282,10.0,0.593367916718438,0.0716448973138882,10.0
RefSim-W,repair,M1.1,,964.3777515777562,70.42705373018634,174,10,8.552415972355034,0.09162049243825578,174,10,0,43.822721663930736,14.543882319382636,10.0,0.06541361958551697,0.02036764154288549,10.0
RefSim-W,repair,M1.2,,701.3493275981511,75.09020146203648,141,10,8.222735725925368,0.1051425503252903,141,10,0,9.169276114093549,10.511659858561208,10.0,0.010802306531996386,0.0239398559311929,10.0
RefSim-W,repair,M2.1,,1420.627361148455,164.03599011044201,64,10,8.976096950601496,0.11622590485310376,64,10,0,21.38087493548186,25.88844587502789,10.0,0.02680633453814334,0.022962408549824,10.0
RefSim-W,repair,M2.2,,1602.0554892738191,286.8578167163836,70,10,9.03788244701072,0.14607346232782023,70,10,0,51.764845866319625,36.86810830412003,10.0,0.025229538672293474,0.02587246339610123,10.0
RefSim-W,repair,M3.1,,1061.621768959005,103.76508834316155,139,10,8.562165646997782,0.11875669504433702,139,10,0,26.553352266139473,15.512194778619184,10.0,0.03582236345893284,0.02063444191731254,10.0
RefSim-W,repair,M3.2,,1228.2591407026919,64.53538028038402,116,10,8.797608400518438,0.08336746474078686,116,10,0,35.274210123573525,18.34680565111668,10.0,0.03535799386002072,0.016778637028251324,10.0
RefSim-W,repair,M4.1,,356.51637944408606,43.08501190573649,104,10,7.604151575784994,0.11837169102982849,104,10,0,-2.0178134167613395,10.744193035808548,10.0,0.0024060000218287135,0.029712166159502923,10.0
RefSim-W,repair,M4.2,,823.2166470617631,139.71147185869273,68,10,8.40608923245597,0.17756642412804877,68,10,0,66.53706414228486,25.90096974974453,10.0,0.10410570151519556,0.039972295081858525,10.0
RefSim-W,repair,M5,,2415.6729790865647,563.9566969915231,56,10,9.53329656422451,0.22267160955538393,56,10,0,49.60463370551813,50.840108885792574,10.0,0.029936168431016697,0.028341703208344532,10.0
RefSim-W,repair,POOLED,,1052.9389674078918,52.101308292507824,932,10,8.533856038381023,0.052653439330193764,932,10,0,32.25290165308046,8.729713288548197,10.0,0.038936097273026424,0.011178709171294047,10.0
