system,station,variant,visit,l1,kl,n_targets
RefSim-M,M5,B_a.2_b.1,1,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.1,2,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.2,1,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.2,2,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.3,1,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.3,2,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.4,1,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,B_a.2_b.4,2,0.07314391365848771,0.0029196386425207124,2
RefSim-M,M5,C_a.1_b.1,1,0.38685608634151225,0.09522209960386249,2
RefSim-M,M5,C_a.1_b.1,2,0.38685608634151225,0.09522209960386249,2
RefSim-M,M5,C_a.1_b.2,1,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.1_b.2,2,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.1_b.3,1,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.1_b.3,2,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.1_b.4,1,0.35314391365848774,0.0653644541668783,2
RefSim-M,M5,C_a.1_b.4,2,0.35314391365848774,0.0653644541668783,2
RefSim-M,M5,C_a.2_b.1,1,0.38685608634151225,0.09522209960386249,2
RefSim-M,M5,C_a.2_b.1,2,0.38685608634151225,0.09522209960386249,2
RefSim-M,M5,C_a.2_b.2,1,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.2_b.2,2,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.2_b.3,1,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.2_b.3,2,0.08685608634151226,0.004275088265900354,2
RefSim-M,M5,C_a.2_b.4,1,0.35314391365848774,0.0653644541668783,2
RefSim-M,M5,C_a.2_b.4,2,0.35314391365848774,0.0653644541668783,2
RefSim-W,B3.1.1,A_a.1_b.1,1,0.6166117336849044,0.20285070807366748,2
RefSim-W,B3.1.1,A_a.1_b.2,1,0.5833882663150957,0.18291479374698905,2
RefSim-W,B3.1.1,A_a.1_b.3,1,0.016611733684904373,0.00013799388857069217,2
RefSim-W,B3.1.1,A_a.1_b.4,1,0.016611733684904373,0.00013799388857069217,2
RefSim-W,B3.1.1,A_a.2_b.1,1,0.6166117336849044,0.20285070807366748,2
RefSim-W,B3.1.1,A_a.2_b.2,1,0.5833882663150957,0.18291479374698905,2
RefSim-W,B3.1.1,A_a.2_b.3,1,0.016611733684904373,0.00013799388857069217,2
RefSim-W,B3.1.1,A_a.2_b.4,1,0.016611733684904373,0.00013799388857069217,2
RefSim-W,B3.1.1,B_a.1_b.2,1,0.7833882663150956,0.354911591505949,2
RefSim-W,B3.1.1,B_a.2_b.1,1,0.41661173368490434,0.08906617716918203,2
RefSim-W,B3.1.1,B_a.2_b.2,1,0.8166117336849044,0.38149281060818674,2
RefSim-W,B3.1.1,B_a.2_b.3,1,0.41661173368490434,0.08906617716918203,2
RefSim-W,B3.1.1,B_a.2_b.4,1,0.41661173368490434,0.08906617716918203,2
RefSim-W,B3.1.2,A_a.1_b.1,1,0.27844911571863185,0.04728914916626763,2
RefSim-W,B3.1.2,A_a.1_b.2,1,0.9215508842813682,0.44734020338969904,2
RefSim-W,B3.1.2,A_a.1_b.3,1,0.3215508842813682,0.05456991925622573,2
RefSim-W,B3.1.2,A_a.1_b.4,1,0.3215508842813682,0.05456991925622573,2
RefSim-W,B3.1.2,A_a.2_b.1,1,0.27844911571863185,0.04728914916626763,2
RefSim-W,B3.1.2,A_a.2_b.2,1,0.9215508842813682,0.44734020338969904,2
RefSim-W,B3.1.2,A_a.2_b.3,1,0.3215508842813682,0.05456991925622573,2
RefSim-W,B3.1.2,A_a.2_b.4,1,0.3215508842813682,0.05456991925622573,2
RefSim-W,B3.1.2,C_a.1_b.4,1,0.07844911571863178,0.0035024463534670466,2
RefSim-W,B3.1.2,C_a.2_b.4,1,0.07844911571863178,0.0035024463534670466,2
RefSim-W,InputBuffer,A_a.1_b.1,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.1_b.2,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.1_b.3,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.1_b.4,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.2_b.1,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.2_b.2,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.2_b.3,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,InputBuffer,A_a.2_b.4,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-W,M4.1,A_a.1_b.1,1,0.3502887316265233,0.1473917068359059,2
RefSim-W,M4.1,A_a.1_b.2,1,0.29028873162652324,0.08942327585283072,2
RefSim-W,M4.1,A_a.1_b.3,1,0.1902887316265233,0.033701710945697544,2
RefSim-W,M4.1,A_a.1_b.4,1,0.09028873162652326,0.006921761669597397,2
RefSim-W,M4.1,A_a.2_b.1,1,0.3502887316265233,0.1473917068359059,2
RefSim-W,M4.1,A_a.2_b.2,1,0.29028873162652324,0.08942327585283072,2
RefSim-W,M4.1,A_a.2_b.3,1,0.1902887316265233,0.033701710945697544,2
RefSim-W,M4.1,A_a.2_b.4,1,0.09028873162652326,0.006921761669597397,2
RefSim-W,M4.1,B_a.1_b.2,1,0.2302887316265233,0.05167684651318144,2
RefSim-W,M4.1,B_a.2_b.1,1,0.10971126837347672,0.008988035133664751,2
RefSim-W,M4.1,B_a.2_b.2,1,0.10971126837347672,0.008988035133664751,2
RefSim-W,M4.1,B_a.2_b.3,1,0.6097112683734767,0.23240682488474002,2
RefSim-W,M4.1,B_a.2_b.4,1,0.10971126837347672,0.008988035133664751,2
RefSim-W,M4.1,C_a.1_b.1,1,0.1502887316265233,0.020198159119813076,2
RefSim-W,M4.1,C_a.1_b.3,1,0.00971126837347669,7.45910758428274e-05,2
RefSim-W,M4.1,C_a.1_b.4,1,0.7097112683734768,0.3082613568695394,2
RefSim-W,M4.1,C_a.2_b.1,1,0.1502887316265233,0.020198159119813076,2
RefSim-W,M4.1,C_a.2_b.3,1,0.00971126837347669,7.45910758428274e-05,2
RefSim-W,M4.1,C_a.2_b.4,1,0.7097112683734768,0.3082613568695394,2
RefSim-W,M4.2,A_a.1_b.1,1,0.2618046971569839,0.10009279205468868,2
RefSim-W,M4.2,A_a.1_b.2,1,0.20180469715698385,0.05144290007593342,2
RefSim-W,M4.2,A_a.1_b.3,1,0.10180469715698393,0.011252233509333645,2
RefSim-W,M4.2,A_a.1_b.4,1,0.001804697156983892,3.1825737665501248e-06,2
RefSim-W,M4.2,A_a.2_b.1,1,0.2618046971569839,0.10009279205468868,2
RefSim-W,M4.2,A_a.2_b.2,1,0.20180469715698385,0.05144290007593342,2
RefSim-W,M4.2,A_a.2_b.3,1,0.10180469715698393,0.011252233509333645,2
RefSim-W,M4.2,A_a.2_b.4,1,0.001804697156983892,3.1825737665501248e-06,2
RefSim-W,M4.2,B_a.1_b.1,1,0.14180469715698396,0.023015009740604067,2
RefSim-W,M4.2,B_a.1_b.2,1,0.14180469715698396,0.023015009740604067,2
RefSim-W,M4.2,B_a.1_b.3,1,0.14180469715698396,0.023015009740604067,2
RefSim-W,M4.2,B_a.1_b.4,1,0.14180469715698396,0.023015009740604067,2
