system,kpi,mean_r,sd_r,pooled_rel
RefSim-V,n_breakdowns,0.060028809475063304,0.09727570213208264,0.0612244897959184
RefSim-V,n_buffer_events,0.07821834167948119,0.012641836883858101,0.0781657096590331
RefSim-V,n_valid,0.08868676740565787,0.012856948269935907,0.08862850947810275
RefSim-V,processing_mean,-0.035340169639983446,0.0013395763367063294,-0.03534169563586991
RefSim-V,rework_rate,-0.15987724769807055,0.00861463661372094,-0.159936582142124
RefSim-V,system_time_mean,-0.05481911569779639,0.012193150015329928,-0.05491294417358662
RefSim-V,tech_availability,-0.00011864016554966462,0.0012295016570417349,-0.00011910544796480869
RefSim-W,avg_breakdown_repair,-0.029563044080217638,0.09566125105304482,-0.03322101473443082
RefSim-W,buffer_time_mean,-0.0003292879212597329,0.0010014759680558535,-0.00032967329337216564
RefSim-W,buffer_wait_mean,-0.04381960163129608,0.007133050134079189,-0.043819956612275376
RefSim-W,cycle_time_mean,0.037418569305172636,0.01393784692648063,0.03725053915188352
RefSim-W,cycle_time_std,-0.028636883813347225,0.265733962247972,-0.07190695081042678
RefSim-W,fe_cycle,-0.03647701858261825,0.012153996832688073,-0.03660731224444148
RefSim-W,fe_system,0.008509093541335536,0.007823800399468402,0.008476443147319176
RefSim-W,inline_wait_mean,0.11130966859463345,0.041156173900279786,0.109928331451128
RefSim-W,multi_rework_rate,-0.06992608515385274,0.020515602349129965,-0.07007704974561449
RefSim-W,n_breakdowns,0.059545624424516906,0.029384953449294732,0.05907626208378088
RefSim-W,n_buffer_events,0.04985650424538275,0.008685201982326833,0.04985972194369655
RefSim-W,n_valid,0.050103930935592844,0.00849491994393551,0.05010084671547334
RefSim-W,processing_mean,-0.0005742188708101968,0.0020943171148385957,-0.0005760860376439489
RefSim-W,rework_rate,-0.003369700804621742,0.015928243543563862,-0.0035099978629175837
RefSim-W,system_time_mean,-0.008955402219812142,0.007621504429859591,-0.009004796234961952
RefSim-W,tech_availability,-0.00019343700677382957,0.0006233809715977353,-0.00019349565420454065
