system,seed,kpi,value
GroundSim-DEC,1004,inline_wait_mean,193.48789799727993
GroundSim-DEC,1004,multi_rework_rate,6.456883959297863
GroundSim-DEC,1004,n_breakdowns,94.0
GroundSim-DEC,1004,n_buffer_events,253294.0
GroundSim-DEC,1004,n_valid,40391.0
GroundSim-DEC,1004,processing_mean,367.79273382664127
GroundSim-DEC,1004,rework_rate,17.528657374167516
GroundSim-DEC,1004,system_time_mean,1307.3733009828923
GroundSim-DEC,1004,tech_availability,99.2285196283703
GroundSim-DEC,1005,avg_breakdown_repair,1524.0239306013534
GroundSim-DEC,1005,buffer_time_mean,15.07303357168828
GroundSim-DEC,1005,buffer_wait_mean,731.0372560901709
GroundSim-DEC,1005,cycle_time_mean,553.8259120106653
GroundSim-DEC,1005,cycle_time_std,258.9057130757108
GroundSim-DEC,1005,fe_cycle,66.3856736654382
GroundSim-DEC,1005,fe_system,28.614802863831734
GroundSim-DEC,1005,inline_wait_mean,186.16484938862814
GroundSim-DEC,1005,multi_rework_rate,6.5325415101199855
GroundSim-DEC,1005,n_breakdowns,93.0
GroundSim-DEC,1005,n_buffer_events,258719.0
GroundSim-DEC,1005,n_valid,41255.0
GroundSim-DEC,1005,processing_mean,367.6610626220372
GroundSim-DEC,1005,rework_rate,17.459701854320688
GroundSim-DEC,1005,system_time_mean,1284.8631681008362
GroundSim-DEC,1005,tech_availability,99.41202780455195
GroundSim-DEC,1006,avg_breakdown_repair,2248.4864253302976
GroundSim-DEC,1006,buffer_time_mean,15.095871133113864
GroundSim-DEC,1006,buffer_wait_mean,756.8612067449048
GroundSim-DEC,1006,cycle_time_mean,565.3575251928731
GroundSim-DEC,1006,cycle_time_std,401.0392345924322
GroundSim-DEC,1006,fe_cycle,65.24376735353657
GroundSim-DEC,1006,fe_system,27.897089909773577
GroundSim-DEC,1006,inline_wait_mean,196.4969767403231
GroundSim-DEC,1006,multi_rework_rate,6.5715075515794235
GroundSim-DEC,1006,n_breakdowns,91.0
GroundSim-DEC,1006,n_buffer_events,249784.0
GroundSim-DEC,1006,n_valid,39793.0
GroundSim-DEC,1006,processing_mean,368.86054845255
GroundSim-DEC,1006,rework_rate,17.99814037644812
GroundSim-DEC,1006,system_time_mean,1322.218731937778
GroundSim-DEC,1006,tech_availability,99.1511836888314
GroundSim-DEC,1007,avg_breakdown_repair,1609.7693930366165
GroundSim-DEC,1007,buffer_time_mean,15.086644632145918
GroundSim-DEC,1007,buffer_wait_mean,737.9410454155956
GroundSim-DEC,1007,cycle_time_mean,558.8562369935121
GroundSim-DEC,1007,cycle_time_std,271.8998819248747
GroundSim-DEC,1007,fe_cycle,65.86592651209368
GroundSim-DEC,1007,fe_system,28.384994583160573
GroundSim-DEC,1007,inline_wait_mean,190.76039862711335
GroundSim-DEC,1007,multi_rework_rate,6.698494307748806
GroundSim-DEC,1007,n_breakdowns,95.0
GroundSim-DEC,1007,n_buffer_events,256293.0
GroundSim-DEC,1007,n_valid,40845.0
GroundSim-DEC,1007,processing_mean,368.0958383663987
