direction,component,configuration,seed,reference_system,coupled_slots,w1,ks_d
swap_to_one,arrival,Hybrid (DeepSim Orders only),1003,Target (GroundSim),pt rt sv tr,6.8814813854323855,0.007018560265063312
swap_to_one,arrival,Hybrid (DeepSim Orders only),1004,Target (GroundSim),pt rt sv tr,9.920547785655417,0.01537917749795914
swap_to_one,arrival,Hybrid (DeepSim Orders only),1005,Target (GroundSim),pt rt sv tr,8.702072541193992,0.012678865734984779
swap_to_one,arrival,Hybrid (DeepSim Orders only),1006,Target (GroundSim),pt rt sv tr,5.229524479360524,0.004471106339770992
swap_to_one,arrival,Hybrid (DeepSim Orders only),1007,Target (GroundSim),pt rt sv tr,3.7134436840381913,0.0055500023444503
swap_to_one,arrival,Hybrid (DeepSim Orders only),1008,Target (GroundSim),pt rt sv tr,2.772208813532818,0.005552718671080981
swap_to_one,arrival,Hybrid (DeepSim Orders only),1009,Target (GroundSim),pt rt sv tr,4.650138160200486,0.009425465580360226
swap_to_one,survival,Hybrid (DeepSim Survival only),1000,Target (GroundSim),pr pt rt tr,5.673235591808528,0.004140586846529071
swap_to_one,survival,Hybrid (DeepSim Survival only),1001,Target (GroundSim),pr pt rt tr,17.194117233310692,0.013152508595289603
swap_to_one,survival,Hybrid (DeepSim Survival only),1002,Target (GroundSim),pr pt rt tr,7.603396341229322,0.007769229725417159
swap_to_one,survival,Hybrid (DeepSim Survival only),1003,Target (GroundSim),pr pt rt tr,8.654939765430512,0.012913770934076862
swap_to_one,survival,Hybrid (DeepSim Survival only),1004,Target (GroundSim),pr pt rt tr,6.789002462345309,0.0060901192068248955
swap_to_one,survival,Hybrid (DeepSim Survival only),1005,Target (GroundSim),pr pt rt tr,5.937385733041694,0.00286093301444601
swap_to_one,survival,Hybrid (DeepSim Survival only),1006,Target (GroundSim),pr pt rt tr,9.677444797802869,0.013324180476950609
swap_to_one,survival,Hybrid (DeepSim Survival only),1007,Target (GroundSim),pr pt rt tr,6.634230365793398,0.009016311111852637
swap_to_one,survival,Hybrid (DeepSim Survival only),1008,Target (GroundSim),pr pt rt tr,6.645297003542051,0.006364418612942402
swap_to_one,survival,Hybrid (DeepSim Survival only),1009,Target (GroundSim),pr pt rt tr,7.205344222847653,0.004076872777308949
