station,t_op_s,h_true
M2.1,313110.1000043665,0.0004889857995841473
M2.1,315655.71057350765,0.0005454368983390193
M2.1,318201.32114264887,0.0006084050095579411
M2.1,320746.93171179004,0.0006786424915190191
M2.1,323292.54228093126,0.0007569885587066025
M2.1,325838.1528500724,0.0008443793089496504
M2.1,328383.7634192136,0.0009418589081458342
M2.1,330929.3739883548,0.0010505920662091462
M2.1,333474.984557496,0.0011718779533066745
M2.1,336020.5951266372,0.0013071657226591494
M2.1,338566.20569577836,0.0014580718253753631
M2.1,341111.8162649196,0.0016263993242024524
M2.1,343657.42683406075,0.0018141594369572437
M2.1,346203.037403202,0.002023595567044977
M2.1,348748.64797234314,0.0022572101081877426
M2.1,351294.2585414843,0.002517794343632143
M2.1,353839.8691106255,0.002808461797079085
M2.1,356385.4796797667,0.0031326854338207416
M2.1,358931.0902489079,0.0034943391565729455
M2.1,361476.7008180491,0.0038977440918051593
M2.1,364022.3113871903,0.004347720219608556
M2.1,366567.92195633147,0.0048496439639880515
M2.1,369113.5325254727,0.005409512431681572
M2.1,371659.14309461386,0.006034015067046997
M2.1,374204.753663755,0.006730613579167261
M2.1,376750.36423289625,0.007507631096161806
M2.1,379295.9748020374,0.008374351611941652
M2.1,381841.58537117863,0.00934113091362238
M2.1,384387.1959403198,0.01041952031498237
M2.1,386932.806509461,0.011622404674363988
M2.1,389478.4170786022,0.012964156346088605
M2.1,392024.0276477434,0.014460806904835012
M2.1,394569.6382168846,0.01613023869478518
M2.1,397115.24878602574,0.017992398492213568
M2.1,399660.85935516696,0.020069535834412004
M2.1,402206.4699243081,0.02238646886256205
M2.1,404752.08049344935,0.024970880854910574
M2.1,407297.6910625905,0.027853650993298038
M2.1,409843.30163173174,0.03106922331511937
M2.1,412388.9122008729,0.03465601825904333
M2.1,414934.5227700141,0.03865689172174049
M2.1,417480.1333391553,0.04311964711053954
M2.1,420025.74390829646,0.04809760651014254
M2.1,422571.3544774377,0.05365024778783669
M2.1,425116.96504657884,0.05984391524948931
M2.1,427662.57561572007,0.06675261233742155
M2.1,430208.18618486123,0.07445888584149907
M2.1,432753.79675400245,0.08305481218821707
M2.1,435299.4073231436,0.09264309759219375
M2.1,437845.01789228484,0.10333830521495495
M2.1,440390.628461426,0.1152682239933972
M2.1,442936.2390305672,0.12857539549302766
M2.1,445481.8495997084,0.14341881702918793
M2.1,448027.46016884956,0.1599758414055745
M2.1,450573.0707379908,0.17844429596859102
M2.1,453118.68130713195,0.199044846296501
M2.1,455664.2918762732,0.22202363276532744
M2.1,458209.90244541434,0.24765521149381056
M2.1,460755.51301455556,0.2762458348065647
M2.1,463301.1235836967,0.30813711041119274
M2.1,465846.7341528379,0.3437100830101043
M2.1,468392.3447219791,0.38338978711511146
M2.1,470937.9552911203,0.42765032546295373
M2.1,473483.5658602615,0.4770205337098883
M2.1,476029.17642940267,0.5320902990884729
M2.1,478574.7869985439,0.5935176085234269
M2.1,481120.39756768505,0.6620364104191185
M2.1,483666.0081368263,0.7384653840532712
M2.1,486211.61870596744,0.8237177213557002
M2.1,488757.22927510866,0.9188120379471748
M2.1,491302.83984424983,1.0248845438061047
M2.1,493848.450413391,1.1432026189811777
M2.1,496394.0609825322,1.2751799565558475
M2.1,498939.6715516734,1.4223934537964351
M2.1,501485.2821208146,1.5866020533034868
M2.1,504030.89268995577,1.7697677592849095
M2.1,506576.503259097,1.9740790800585348
M2.2,0.0,2.0386266094420603e-06
M2.2,2513.932679872944,1.8215649682826278e-06
M2.2,5027.865359745888,1.6045033271231954e-06
M2.2,7541.798039618832,1.387441685963763e-06
M2.2,10055.730719491776,1.1703800448043305e-06
M2.2,12569.66339936472,9.533184036448982e-07
M2.2,15083.596079237665,7.362567624854658e-07
M2.2,17597.528759110606,5.191951213260336e-07
M2.2,20111.46143898355,4.2918454935622317e-07
M2.2,22625.394118856497,4.2918454935622317e-07
M2.2,25139.32679872944,4.2918454935622317e-07
M2.2,27653.259478602384,4.2918454935622317e-07
M2.2,30167.19215847533,4.2918454935622317e-07
M2.2,32681.12483834827,4.2918454935622317e-07
M2.2,35195.05751822121,4.2918454935622317e-07
M2.2,37708.99019809416,4.2918454935622317e-07
M2.2,40222.9228779671,4.2918454935622317e-07
M2.2,42736.85555784005,4.2918454935622317e-07
M2.2,45250.78823771299,4.2918454935622317e-07
M2.2,47764.72091758593,4.2918454935622317e-07
M2.2,50278.65359745888,4.2918454935622317e-07
M2.2,52792.58627733182,4.2918454935622317e-07
M2.2,55306.51895720477,4.2918454935622317e-07
M2.2,57820.45163707771,4.2918454935622317e-07
M2.2,60334.38431695066,4.2918454935622317e-07
M2.2,62848.316996823596,4.2918454935622317e-07
M2.2,65362.24967669654,4.2918454935622317e-07
M2.2,67876.18235656948,4.2918454935622317e-07
M2.2,70390.11503644242,4.2918454935622317e-07
M2.2,72904.04771631537,4.2918454935622317e-07
M2.2,75417.98039618832,4.2918454935622317e-07
M2.2,77931.91307606126,4.2918454935622317e-07
M2.2,80445.8457559342,4.2918454935622317e-07
M2.2,82959.77843580715,4.2918454935622317e-07
M2.2,85473.7111156801,4.2918454935622317e-07
M2.2,87987.64379555304,4.2918454935622317e-07
M2.2,90501.57647542599,4.2918454935622317e-07
M2.2,93015.50915529893,4.2918454935622317e-07
M2.2,95529.44183517186,4.2918454935622317e-07
M2.2,98043.37451504481,4.2918454935622317e-07
M2.2,100557.30719491775,4.2918454935622317e-07
M2.2,103071.2398747907,4.2918454935622317e-07
M2.2,105585.17255466364,4.2918454935622317e-07
M2.2,108099.10523453659,4.2918454935622317e-07
M2.2,110613.03791440954,4.2918454935622317e-07
M2.2,113126.97059428248,4.2918454935622317e-07
M2.2,115640.90327415543,4.2918454935622317e-07
M2.2,118154.83595402837,4.2918454935622317e-07
M2.2,120668.76863390132,4.2918454935622317e-07
M2.2,123182.70131377425,4.2918454935622317e-07
M2.2,125696.63399364719,4.2918454935622317e-07
M2.2,128210.56667352014,4.2918454935622317e-07
M2.2,130724.49935339308,4.2918454935622317e-07
M2.2,133238.43203326603,4.2918454935622317e-07
M2.2,135752.36471313896,4.2918454935622317e-07
M2.2,138266.29739301192,4.2918454935622317e-07
M2.2,140780.23007288485,4.2918454935622317e-07
M2.2,143294.1627527578,4.2918454935622317e-07
M2.2,145808.09543263074,4.2918454935622317e-07
M2.2,148322.0281125037,4.2918454935622317e-07
M2.2,150835.96079237663,4.6198545012202175e-07
M2.2,153349.8934722496,5.146193513452468e-07
M2.2,155863.82615212252,5.732498214154868e-07
M2.2,158377.75883199548,6.385600481090875e-07
